acceleration;velocity;distance_traveled;turn_radius
80.0320775819693;348.00320775819694;34.80032077581969;3460.1780745712795
79.46465027569832;355.9496727857668;70.39528805439637;3620.0048444655554
78.87741456274604;363.8374142420414;106.7790294786005;3782.2189714952815
78.27080539941672;371.6644947819831;143.9454789567988;3946.6999051870494
77.64527785380994;379.4290225673641;181.8883812135352;4113.325233326436
77.00130632020827;387.1291531993849;220.60129653347371;4281.970893053509
76.3393836916643;394.7630915685513;260.0776056903288;4452.511384707441
75.66002049342167;402.3290936178935;300.31051505211815;4624.819987754163
74.96374397994501;409.82546801588796;341.29306185370694;4798.768978126904
74.25109719846097;417.25057773573405;383.0181196272804;4974.229846308682
73.52263802202461;424.6028415379365;425.478403781074;5151.073515488286
72.7789381552218;431.8807353534587;468.6664773164199;5329.170559126978
72.02058211569906;439.0827935650286;512.5747566729227;5508.391417281987
71.24816619477805;446.20761018450645;557.1955176913734;5688.606611044813
70.46229740045844;453.25383992455227;602.5209016838287;5869.68695446719
69.66359238614731;460.220199163167;648.5429216001454;6051.503763365289
68.8526763684665;467.1054668000137;695.2534682801468;6233.929060413106
68.03018203749055;473.90848500376273;742.644316780523;6416.835775958903
67.19674846274995;480.6281598500377;790.7071327655268;6600.097944023812
66.35301999830307;487.263461849868;839.4334789505136;6783.5908929690795
65.49964519013182;493.8134263688812;888.8148215874018;6967.191430347842
64.63727568905475;500.2771539377867;938.8425369811804;7150.7780214883405
63.76656517227481;506.6538104550142;989.5079180266819;7334.230961388156
62.88816827658949;512.9426272826731;1040.8021807549492;7517.432539532896
62.00273954619012;519.1429012372921;1092.7164708786784;7700.267197287794
61.110932397862676;525.2539944770783;1145.241870326386;7882.6216775464745
60.2133981062795;531.2753342877063;1198.3694037551568;8064.385166357546
59.31078481193695;537.2064127689;1252.0900450320469;8245.449426286565
58.40373655415258;543.0467864243153;1306.3947236744784;8425.708921307883
57.492892331384304;548.7960756574538;1361.2743312402238;8605.060933057764
56.57888519097941;554.4539641765517;1416.719727657879;8783.40566831694
55.662341350297574;560.0201983115815;1472.7217474890372;8960.646357626943
54.74387935098732;565.4945862466802;1529.2712061137051;9136.689344980115
53.82410924802507;570.8769971714827;1586.3589058308535;9311.444168557973
52.9036318349543;576.1673603549781;1643.9756418663512;9484.823632526377
51.98303790658951;581.3656641456371;1702.112208280915;9656.743869928505
51.062907560276386;586.4719549016647;1760.7594037710815;9827.124396748008
50.143809536627344;591.4863358553274;1819.9080373566142;9995.888157244606
49.22630060048052;596.4089659153755;1879.5489339481517;10162.961560692785
48.310924962662206;601.2400584116417;1939.672939789316;10328.274509680981
47.39821374296879;605.9798797859386;2000.2709277679098;10491.76042015373
46.48868447462173;610.6287482334008;2061.33380259125;10653.35623340257
45.58284065029519;615.1870322984303;2122.852505821093;10813.002420232855
44.681171309664855;619.6551494293967;2184.8180207640326;10970.64297755337
43.784150668281704;624.0335644962249;2247.221377213655;11126.22541765326
42.89223778743784;628.3227882749687;2310.053656041152;11279.700750446606
42.00587628456039;632.5233759034247;2373.3059936314944;11431.023458979005
41.12549408354587;636.6359253117793;2436.9695861626724;11580.15146850244
40.25150320433286;640.6610756322126;2501.0356937258935;11727.046109434961
39.38429959090228;644.5995055913028;2565.495644285024;11871.672074530055
38.52426297679636;648.4519318889824;2630.340837473922;12013.997370587242
37.67175678715461;652.2191075676978;2695.562748230692;12153.99326504012
36.827128076184714;655.9018203753163;2761.1529302682234;12291.634227761535
35.99070749890968;659.5008911252073;2827.103019380744;12426.897868426931
35.16280931596784;663.0171720568042;2893.4047365864244;12559.764869777197
34.343731430184285;666.4515451998226;2960.0498911064064;12690.21891712089
33.53375545358221;669.8049207451808;3027.0303831809247;12818.246624413083
32.73314680346136;673.0782354255269;3094.3382067234775;12943.83745724403
31.942154826136534;676.2724509081406;3161.9654518142916;13066.983653065814
31.16101294690242;679.3885522028309;3229.9043070345747;13187.680138978818
-104.69070631651879;668.919481571179;3296.7962551916926;12784.379223584423
-101.489092594789;658.7705723117;3362.6733124228626;12399.390484110992
-98.43285050864293;648.9272872608357;3427.566041148946;12031.617832905918
-95.51327874068987;639.3759593867667;3491.503637087623;11680.04621262138
-92.72231923450325;630.1037274633163;3554.5140098339543;11343.734496090436
-90.05250083012149;621.0984773803042;3616.623857571985;11021.809102975207
-87.49688858966067;612.3487885213381;3677.858736424119;10713.458251530012
-85.04903816480218;603.8438847048578;3738.2431248946045;10417.926774155818
-82.70295463995075;595.5735892408627;3797.8004838186907;10134.511434321254
-80.45305535550281;587.5282837053124;3856.553312189222;9862.556690106003
-78.29413627663686;579.6988700776487;3914.523199196987;9601.45085626579
-76.22134152577691;572.076735925071;3971.7308727894942;9350.622622476669
-74.23013574259346;564.6537223508117;4028.1962450245755;9109.537890417929
-72.31627897511255;557.4220944533005;4083.9384544699055;8877.696896705835
-70.47580384005805;550.3745140692947;4138.975905876835;8654.631592486065
-68.70499472068514;543.5040145972262;4193.326307336558;8439.903253808625
-67.00036879668583;536.8039777175576;4247.006705108313;8233.100299811202
-65.35865872378675;530.268111845179;4300.033516292831;8033.836298281463
-63.77679680085876;523.8904321650931;4352.42255950934;7841.748140403658
-62.251900480100446;517.665242117083;4404.1890837210485;7656.494368461092
-60.7812590914651;511.5871162079365;4455.347795341842;7477.75364199865
-59.362321666256236;505.65088404131086;4505.912883745974;7305.223329478834
-57.99268575695613;499.8516154656152;4555.898045292535;7138.618213816722
-56.67008716108493;494.1846067495067;4605.316505967486;6977.669301376131
-55.39239046638896;488.6453677028678;4654.181042737772;6822.122725070597
