acceleration;velocity;distance_traveled;turn_radius
144.29295328005048;354.429295328005;35.442929532800505;3589.1464396201773
143.9335048139677;368.8226458094018;72.32519411374068;3886.5755446242133
143.5233792679942;383.1749837362012;110.6426924873608;4194.944804606802
143.06253137084784;397.48123687328604;150.3908161746894;4514.038104751923
142.55098434237559;411.7363353075236;191.56444970544177;4843.6231374991285
141.98883076559846;425.93521838408344;234.15797154385012;5183.451721711339
141.37623327443313;440.07284171152673;278.1652557150028;5533.2601717730995
140.71342505125207;454.1441842166519;323.57967413666796;5892.769715937379
140.00071012926034;468.14425522957794;370.39409965962574;6261.686962984463
139.23846349553554;482.0681015791315;418.6009098175389;6639.704416003082
138.42713099148284;495.9108146782798;468.19199128536684;7026.501031853576
137.56722900840361;509.66753757912016;519.1587450432788;7421.7428246275385
136.6593439768494;523.3334719768051;571.4920922409593;7825.083511179927
135.70413164943162;536.9038851417482;625.1824807551342;8236.165196580103
134.70231617777014;550.3741167595252;680.2198924310867;8654.619097109357
133.6546889852878;563.739585658054;736.5938509968921;9080.066298226126
132.5621074385799;576.995796401912;794.2934306370834;9512.118544727904
131.4254933211057;590.1383457340226;853.3072652104856;9950.379060162535
130.24583111395174;603.1629288454177;913.6235580950274;10394.443392382354
129.02416608939575;616.0653454543573;975.2300926404631;10843.900281994187
127.76160222395316;628.8415056767526;1038.1142432081383;11298.332550337294
126.45929993849984;641.4874356706026;1102.2629867751987;11757.3180035213
125.11847367393618;653.9992830379963;1167.6629150789984;12220.43034897752
123.74038931167587;666.3733219691638;1234.3002472759147;12687.24012092054
122.32636144900569;678.6059581140644;1302.1608430873212;13157.315611083066
120.87775054006052;690.6937331680705;1371.2302164041282;13630.223801075592
119.39595991379181;702.6333291594497;1441.4935493200733;14105.531292734044
117.88243268086461;714.4215724275361;1512.935706562827;14582.805232852379
116.33864854190223;726.0554372817264;1585.5412502909996;15061.614228753113
114.76612050990103;737.5320493327165;1659.2944552242714;15541.529251226188
113.16639155995959;748.8486884887125;1734.1793240731427;16022.124521464708
111.54103121970377;760.0027916106828;1810.1796032342108;16502.97837874374
9.734289456601463;760.976220556343;1886.277225289845;16545.2802357776
9.572517565722732;761.9334723129153;1962.4705725211365;16586.931892309032
9.412291618009972;762.8747014747163;2038.7580426686081;16627.937432861072
9.253616221216777;763.800063096838;2115.138048978292;16668.301039620965
9.09649558096364;764.7097126549344;2191.6090202437854;16708.026989394068
8.940933505340848;765.6038060054684;2268.1694008443324;16747.11965057311
8.786933409586217;766.4824993464271;2344.817650778975;16785.583480124158
8.634498320833499;767.3459491785104;2421.552245696826;16823.423020590544
8.483630882927375;768.1943122668032;2498.3716769235066;16860.642897116195
8.334333361300377;769.0277456029332;2575.2744514838;16897.247814489423
8.186607647908348;769.8464063677241;2652.2590921205724;16933.24255420854
8.04045526621953;770.650451894346;2729.3241373100072;16968.631971570278
7.895877376254282;771.4400396319714;2806.4681412732043;17003.42099278222
7.752874779670588;772.2153271099385;2883.689673984198;17037.614612100264
7.611447924892318;772.9764719024276;2960.987321174441;17071.21788899213
7.471596912275451;773.7236315936552;3038.359684333807;17104.235945327837
7.333321499309979;774.4569637435862;3115.8053807081656;17136.673962598128
7.196621105852156;775.1766258541714;3193.3230432935825;17168.53717916166
7.061494819385096;775.88277533611;3270.9113208271933;17199.830887521843
6.92794140030298;776.5755694761402;3348.5688777748073;17230.560431634043
6.795959287216231;777.2551654048618;3426.2943943152936;17260.731204243977
6.665546602273982;777.9217200650892;3504.0865663218024;17290.348644257912
6.5367011565005875;778.5753901807392;3581.9441053398764;17319.418234145436
6.409420455142944;779.2163322262535;3659.865738562502;17347.945497375287
6.283701703025759;779.844702396556;3737.850208802158;17375.935995884945
6.159541809911279;780.4606565775472;3815.8962744599125;17403.395327584458
6.0369373958608215;781.0643503171333;3894.002709491626;17430.329123895015
5.915884796595303;781.6559387967928;3972.1683033713052;17456.74304732273
5.7963800688514375;782.235576803678;4050.391861051673;17482.64278906808
5.6784189957316915;782.8034187032512;4128.672202921998;17508.03406667136
5.5619970920444155;783.3596184124556;4207.008164763244;17532.922621694514
5.447109609632471;783.9043293734188;4285.398597700586;17557.3142174397
5.3337515426870326;784.4377045276875;4363.842368153355;17581.214636704786
5.221917633044818;784.959896290992;4442.338357782454;17604.62967957614
5.11160237546613;785.4710565285386;4520.885463435308;17627.56516125882
5.0028000228912495;785.9713365308278;4599.482597088391;17650.02690994445
4.895504591673366;786.4608869899952;4678.128685787391;17672.020764716857
4.789709866785745;786.9398579766737;4756.822671585059;17693.55257349564
4.685409407001369;787.4083989173738;4835.5635114767965;17714.628191017775
4.5825965500421395;787.866658572378;4914.350177334034;17735.25347685726
4.481264417697621;788.3147850141478;4993.1816558354485;17755.434293482915
4.381405920909267;788.7529256062387;5072.056948396073;17775.176504354306
4.283013764820506;789.1812269827208;5150.9750710943445;17794.48597205579
4.186080453789393;789.5998350280997;5229.935054597155;17813.36855646864
4.0905982963633605;790.0088948577361;5308.9359440829285;17831.830112981188
3.9965594102137354;790.4085507987575;5387.976799162804;17849.87649073691
3.9039557270296017;790.7989463714604;5467.05669379995;17867.51353092034
3.8127789973682353;791.1802242711972;5546.174716227069;17884.747065080624
-122.18714468917115;778.96150980228;5624.070867207298;17336.600964384215
-118.44225488598424;767.1172843136816;5700.782595638666;16813.39793979422
-114.86777416032677;755.630506897649;5776.345646328431;16313.641798697083
-111.45348064533695;744.4851588331153;5850.794162211742;15835.947192079111
-108.18990974865773;733.6661678582495;5924.160778997567;15379.029881708833
